股票代码,股票名称,首次预判日期,起始日期,验证周期(天),起始总价(×100股),累计盈亏(100股),累计涨幅,预期涨幅区间,首日涨跌幅,前3日涨跌幅,前5日涨跌幅
sz002371,北方华创,2026-05-19,2026-05-19,76,61970.0,-840.0,-1.36,↔ 方向不明,+5.86%,+7.96%,+8.16%
sh688012,中微公司,2026-05-19,2026-05-19,76,32158.0,-4152.0,-12.91,↔ 方向不明,+2.26%,-2.07%,-3.34%
sh688126,沪硅产业,2026-05-19,2026-05-19,76,2952.0,-485.0,-16.43,↔ 方向不明,-0.71%,-5.79%,-8.88%
sh601857,中国石油,2026-05-19,2026-05-19,67,1156.0,-93.0,-8.04,↔ 方向不明,+0.61%,-4.15%,-5.19%
sz000617,中油资本,2026-05-19,2026-05-19,24,859.0,-87.0,-10.13,+5%以上,+0.35%,-5.36%,-7.57%
sz300130,新国都,2026-05-19,2026-05-19,24,2250.0,113.0,5.02,+5%以上,+4.44%,+8.18%,+9.11%
sh603986,兆易创新,2026-05-19,2026-05-19,133,40381.0,7379.0,18.27,📉 预期下跌,+10.02%,+15.89%,+30.31%
sz300308,中际旭创,2026-05-20,2026-05-20,44,103700.0,16208.0,15.63,5%~20%,-4.21%,+5.40%,+7.17%
sz300502,新易盛,2026-05-20,2026-05-20,44,58797.0,15542.0,26.43,5%~20%,-3.74%,+12.08%,+18.20%
sz300853,申昊科技,2026-05-22,2026-05-22,66,3340.0,445.0,13.32,±20%,+6.11%,+10.75%,+13.41%
sh603666,亿嘉和,2026-05-22,2026-05-22,66,3121.0,-224.0,-7.18,±20%,+4.04%,+0.26%,-5.00%
sz000034,神州数码,2026-05-22,2026-05-22,66,2907.0,-296.0,-10.18,↔ 方向不明,+1.55%,-10.97%,-11.11%
sz002261,拓维信息,2026-05-22,2026-05-22,66,3223.0,-239.0,-7.42,↔ 方向不明,+2.92%,-5.21%,-7.91%
sh688111,金山办公,2026-05-24,2026-05-25,65,24534.0,1254.0,5.11,+80%以上,-1.08%,-3.65%,+4.39%
sh600588,用友网络,2026-05-24,2026-05-25,65,1094.0,26.0,2.38,+80%以上,-2.19%,-3.84%,+4.30%
sh600028,中国石化,2026-05-24,2026-05-25,65,492.0,-9.0,-1.83,±15%,-1.02%,-2.24%,-1.02%
sh600577,精达股份,2026-05-29,2026-05-29,111,1300.0,-32.0,-2.46,📈 预期上涨,-3.23%,—,—
sz002594,比亚迪,2026-05-30,2026-06-01,45,9365.0,186.0,1.99,↔ 方向不明,+1.99%,—,—
